Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Northern Mariana Islands,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming
07/24/2020,9333,11063,14104,15997,137572,9180,25184,1975,3239,65694,45506,5,2478,3338,44397,12466,5587,9281,8630,24858,2945,24220,17274,27922,17561,7468,9331,2982,3501,7735,4224,28006,7651,76507,26622,4305,0,22602,9867,8076,19331,494,4166,10898,954,26628,67275,8649,1110,0,18043,15175,253173,17496,58
07/25/2020,12451,4494,20792,0,131479,13339,0,2596,3749,59741,25396,563,1499,3221,38200,11525,4390,0,8049,0,2753,34874,11377,0,17820,10406,7106,1815,3531,8650,3047,513,8192,71466,28745,4011,1,26194,42667,7443,18382,573,5825,9118,2423,9761,74111,6068,1124,417,20126,9569,256914,14236,41
07/26/2020,7948,2198,9494,15803,120784,16281,0,3071,2589,50126,21105,0,1262,2748,40844,11037,4336,0,0,33538,1945,22041,7350,56098,16678,1207,7230,1300,2859,8401,2134,65132,7248,53568,34343,4524,1,32609,1204,4465,12871,603,4371,9323,1013,50478,63933,5212,993,99,17752,4944,261726,9986,29
07/27/2020,8230,0,11230,7624,128439,11224,31979,3066,2550,44994,24018,449,63,1771,30567,6480,4246,969,5849,26758,2123,23395,22023,29745,13352,4504,14953,6340,3363,5757,2375,30552,8293,57270,22091,4241,419,17667,1401,4091,14487,288,3001,11088,-99,28600,58907,4507,808,45,10944,17296,266033,6957,45
07/28/2020,7369,6611,12598,5015,121288,3393,7637,1564,3874,48802,34363,311,2272,2685,28331,9018,2590,0,10185,16282,1659,23944,25590,27393,9262,5536,11020,2753,2276,6207,2964,463,8172,57397,28064,4001,0,54635,20812,5090,18472,409,4037,11429,664,25059,48044,4651,1244,273,20138,16103,269844,14445,2437
07/29/2020,2723,9789,10498,5699,99600,17337,13088,2393,2027,46466,25138,537,1172,2304,38187,7429,5277,6013,10544,18827,2977,15747,22042,65351,13103,10171,7975,3947,2930,6499,2697,58378,7963,62276,27894,3299,0,22104,17387,6499,14921,221,3724,10660,2223,19728,62442,3682,600,134,17315,15276,274127,14748,1232
07/30/2020,11776,1393,11837,7112,116374,11940,12952,1847,2941,52352,28925,213,1653,2451,41134,11610,6386,0,10849,22259,2730,25689,22921,19945,14791,6577,14234,3261,2860,6260,3142,16882,7758,73546,33490,3864,2,25635,8503,4484,15856,511,4899,10401,631,24573,70106,6176,823,0,18152,14588,277481,17302,629
07/31/2020,9181,8049,20477,0,177201,10578,15268,2184,5751,48971,33298,340,2156,3541,49821,11535,5314,7558,8440,24853,2360,28632,21526,31269,17034,4624,11640,1354,4063,6258,2534,36765,7026,68869,32178,5031,0,21862,10562,5554,16935,209,4031,1444,1290,32593,60278,4543,1084,377,15745,14816,283988,15402,658
08/01/2020,7780,5527,14907,11864,75546,12542,0,1849,5040,51355,21398,170,1883,2731,39809,11223,4558,0,8797,0,2579,31004,11055,32383,15401,6968,9972,1583,4303,4317,3007,369,6375,82737,29310,5815,0,24569,11614,5423,15450,1091,5176,19034,1297,29448,78027,4350,1024,108,16567,8996,287224,14920,43
08/02/2020,8635,4457,7778,0,149388,12589,0,2015,3411,41554,28555,0,3390,2419,38945,10437,5148,0,0,37197,2328,23785,8178,25011,14645,672,5722,2742,1984,7899,3640,49180,7874,58961,27098,3828,3,24643,494,4041,12247,539,3974,10388,1021,19445,0,3456,1289,0,12641,4787,291212,9653,39
08/03/2020,7880,2717,7990,12819,148721,10606,35186,2748,1623,31801,21761,521,638,1026,28475,6439,2357,9332,3535,14470,2071,24484,26960,24982,15963,572,10481,5213,3863,2747,3110,18702,8367,51839,23900,4558,537,17997,377,3474,12000,380,2733,9418,695,12235,86807,3466,557,147,15036,17534,295046,7180,1499
